point_id,valley,X,Y,data_type,verific_da,outcome,offset,offset_req,elevation,dist_sewer,dist_trash,lc_10m_pave,lc_10m_veg,lc_10m_soil,lc_10m_total,lc_30m_pave,lc_30m_veg,lc_30m_soil,lc_30m_total,lc_perv_10m,lc_perv_30m,lc10_prop_soil,lc30_prop_soil,lc10_prop_veg,lc30_prop_veg,lc10_prop_pave,lc30_prop_pave,rel_elev,dist_pri_sewer
159,4,561427.7,8570971,plates,1,0,5,0,46.571651459,31.85386231988503,131.46289514642316,0,0,76,76,22,53,629,704,1,0.96875,1,0.8934659090909091,0,0.07528409090909091,0,0.03125,22.571651459,47.438863712989594
184,4,561454.3,8570928,plates,1,0,5,0,30,15.161751178446506,129.45754362451314,12,57,9,78,184,234,290,708,0.8461538461538461,0.7401129943502824,0.11538461538461539,0.4096045197740113,0.7307692307692307,0.3305084745762712,0.15384615384615385,0.2598870056497175,6,15.161751178446506
189,4,561465.4,8570886,plates,1,0,5,0,30,2.4887750299286635,87.74865082281762,44,25,9,78,209,227,272,708,0.4358974358974359,0.7048022598870056,0.11538461538461539,0.384180790960452,0.32051282051282054,0.3206214689265537,0.5641025641025641,0.2951977401129944,6,2.4887750299286635
200,4,561429.9,8570941,plates,1,3,4,0,43.835796356,23.76182496049734,152.76488489406552,21,1,56,78,115,136,451,702,0.7307692307692307,0.8361823361823362,0.717948717948718,0.6424501424501424,0.01282051282051282,0.19373219373219372,0.2692307692307692,0.16381766381766383,19.835796356000003,42.84473350991214
224,4,561438.5,8570896,plates,1,0,3,0,36.141742706,28.409789060002517,111.80632953792896,23,2,55,80,157,169,384,710,0.7125,0.7788732394366197,0.6875,0.5408450704225352,0.025,0.2380281690140845,0.2875,0.2211267605633803,12.141742706000002,28.409789060002517
237,4,561454.2,8570954,plates,1,0,5,0,29.891231537,1.2392298856385662,130.3635086598927,10,55,13,78,126,184,400,710,0.8717948717948718,0.8225352112676056,0.16666666666666666,0.5633802816901409,0.7051282051282052,0.2591549295774648,0.1282051282051282,0.17746478873239438,5.8912315369999995,18.813969732072753
245,4,561438.7,8570893,plates,1,0,3,0,36.645187378,28.183104587856786,109.45761939900657,24,4,48,76,156,169,379,704,0.6842105263157895,0.7784090909090909,0.631578947368421,0.5383522727272727,0.05263157894736842,0.24005681818181818,0.3157894736842105,0.2215909090909091,12.645187378000003,28.183104587856786
247,4,561463.4,8570984,plates,1,3,5,0,30,12.206398986367104,99.39467932304518,20,0,58,78,142,27,539,708,0.7435897435897436,0.7994350282485876,0.7435897435897436,0.7612994350282486,0,0.038135593220338986,0.2564102564102564,0.20056497175141244,6,12.206398986367104
252,4,561442.3,8570986,plates,1,0,4,0,36.825023651,20.20833825698011,109.56483501180041,0,0,78,78,53,14,641,708,1,0.9251412429378532,1,0.905367231638418,0,0.01977401129943503,0,0.0748587570621469,12.825023651000002,33.30803791908
267,4,561452.1,8570924,plates,1,2,5,0,30.887823105,17.529516338999198,126.92181585338517,5,52,23,80,191,223,298,712,0.9375,0.7317415730337079,0.2875,0.41853932584269665,0.65,0.31320224719101125,0.0625,0.26825842696629215,6.887823104999999,17.529516338999198
272,4,561439.7,8570872,plates,1,0,5,0,39.743206024,32.657841613886035,94.45766491281059,7,1,70,78,122,186,400,708,0.9102564102564102,0.827683615819209,0.8974358974358975,0.5649717514124294,0.01282051282051282,0.2627118644067797,0.08974358974358974,0.17231638418079095,15.743206024000003,32.657841613886035
277,4,561469.8,8570941,plates,1,0,5,0,28.970489502,0.3447672433944867,135.3675890705137,16,4,56,76,157,235,310,702,0.7894736842105263,0.7763532763532763,0.7368421052631579,0.4415954415954416,0.05263157894736842,0.33475783475783477,0.21052631578947367,0.22364672364672364,4.9704895019999995,0.3447672433944867
291,4,561437.1,8570916,plates,1,0,5,0,37.516551971,31.349303886806787,128.10216694280987,32,1,47,80,163,166,375,704,0.6,0.7684659090909091,0.5875,0.5326704545454546,0.0125,0.23579545454545456,0.4,0.2315340909090909,13.516551970999998,31.349303886806787
297,4,561444,8570968,plates,1,0,5,0,33.458934784,16.439678626786343,123.06778689053081,5,5,70,80,71,124,521,716,0.9375,0.9008379888268156,0.875,0.7276536312849162,0.0625,0.17318435754189945,0.0625,0.09916201117318436,9.458934784,28.104276246484357
310,4,561437,8570874,plates,1,0,3,0,41.442504883,34.45608533617846,97.83667224120094,3,5,70,78,106,164,428,698,0.9615384615384616,0.8481375358166189,0.8974358974358975,0.6131805157593123,0.0641025641025641,0.2349570200573066,0.038461538461538464,0.1518624641833811,17.442504882999998,34.45608533617846
311,4,561458.1,8570901,plates,1,2,5,0,30,7.9832405021212125,104.22294642378618,19,53,6,78,206,202,294,702,0.7564102564102564,0.7065527065527065,0.07692307692307693,0.4188034188034188,0.6794871794871795,0.28774928774928776,0.24358974358974358,0.2934472934472934,6,7.9832405021212125
322,4,561435.6,8570973,plates,1,0,5,0,40.08902359,26.557669721604075,124.2365026753954,0,0,76,76,31,69,600,700,1,0.9557142857142857,1,0.8571428571428571,0,0.09857142857142857,0,0.04428571428571428,16.089023589999996,37.94372783605526
337,4,561468.4,8570919,plates,1,0,5,0,29,1.2428128266974157,115.40651698885846,20,25,31,76,180,223,297,700,0.7368421052631579,0.7428571428571429,0.40789473684210525,0.42428571428571427,0.32894736842105265,0.31857142857142856,0.2631578947368421,0.2571428571428571,5,1.2428128266974157
342,4,561474.6,8570965,plates,1,0,3,0,28.541881561,1.4119950888773045,112.6197607266246,20,5,51,76,133,94,473,700,0.7368421052631579,0.81,0.6710526315789473,0.6757142857142857,0.06578947368421052,0.13428571428571429,0.2631578947368421,0.19,4.541881561,1.4119950888773045
159,4,561427.7,8570971,plates,2,0,5,0,46.571651459,31.85386231988503,131.46289514642316,0,0,76,76,22,53,629,704,1,0.96875,1,0.8934659090909091,0,0.07528409090909091,0,0.03125,22.571651459,47.438863712989594
184,4,561454.3,8570928,plates,2,1,5,0,30,15.161751178446506,129.45754362451314,12,57,9,78,184,234,290,708,0.8461538461538461,0.7401129943502824,0.11538461538461539,0.4096045197740113,0.7307692307692307,0.3305084745762712,0.15384615384615385,0.2598870056497175,6,15.161751178446506
189,4,561465.4,8570886,plates,2,0,5,0,30,2.4887750299286635,87.74865082281762,44,25,9,78,209,227,272,708,0.4358974358974359,0.7048022598870056,0.11538461538461539,0.384180790960452,0.32051282051282054,0.3206214689265537,0.5641025641025641,0.2951977401129944,6,2.4887750299286635
200,4,561429.9,8570941,plates,2,2,3,0,43.835796356,23.76182496049734,152.76488489406552,21,1,56,78,115,136,451,702,0.7307692307692307,0.8361823361823362,0.717948717948718,0.6424501424501424,0.01282051282051282,0.19373219373219372,0.2692307692307692,0.16381766381766383,19.835796356000003,42.84473350991214
224,4,561438.5,8570896,plates,2,0,3,0,36.141742706,28.409789060002517,111.80632953792896,23,2,55,80,157,169,384,710,0.7125,0.7788732394366197,0.6875,0.5408450704225352,0.025,0.2380281690140845,0.2875,0.2211267605633803,12.141742706000002,28.409789060002517
245,4,561438.7,8570893,plates,2,0,5,0,36.645187378,28.183104587856786,109.45761939900657,24,4,48,76,156,169,379,704,0.6842105263157895,0.7784090909090909,0.631578947368421,0.5383522727272727,0.05263157894736842,0.24005681818181818,0.3157894736842105,0.2215909090909091,12.645187378000003,28.183104587856786
247,4,561463.4,8570984,plates,2,0,5,0,30,12.206398986367104,99.39467932304518,20,0,58,78,142,27,539,708,0.7435897435897436,0.7994350282485876,0.7435897435897436,0.7612994350282486,0,0.038135593220338986,0.2564102564102564,0.20056497175141244,6,12.206398986367104
252,4,561442.3,8570986,plates,2,0,5,0,36.825023651,20.20833825698011,109.56483501180041,0,0,78,78,53,14,641,708,1,0.9251412429378532,1,0.905367231638418,0,0.01977401129943503,0,0.0748587570621469,12.825023651000002,33.30803791908
267,4,561452.1,8570924,plates,2,2,5,0,30.887823105,17.529516338999198,126.92181585338517,5,52,23,80,191,223,298,712,0.9375,0.7317415730337079,0.2875,0.41853932584269665,0.65,0.31320224719101125,0.0625,0.26825842696629215,6.887823104999999,17.529516338999198
272,4,561439.7,8570872,plates,2,0,5,0,39.743206024,32.657841613886035,94.45766491281059,7,1,70,78,122,186,400,708,0.9102564102564102,0.827683615819209,0.8974358974358975,0.5649717514124294,0.01282051282051282,0.2627118644067797,0.08974358974358974,0.17231638418079095,15.743206024000003,32.657841613886035
277,4,561469.8,8570941,plates,2,0,4,0,28.970489502,0.3447672433944867,135.3675890705137,16,4,56,76,157,235,310,702,0.7894736842105263,0.7763532763532763,0.7368421052631579,0.4415954415954416,0.05263157894736842,0.33475783475783477,0.21052631578947367,0.22364672364672364,4.9704895019999995,0.3447672433944867
291,4,561437.1,8570916,plates,2,1,5,0,37.516551971,31.349303886806787,128.10216694280987,32,1,47,80,163,166,375,704,0.6,0.7684659090909091,0.5875,0.5326704545454546,0.0125,0.23579545454545456,0.4,0.2315340909090909,13.516551970999998,31.349303886806787
297,4,561444,8570968,plates,2,0,3,0,33.458934784,16.439678626786343,123.06778689053081,5,5,70,80,71,124,521,716,0.9375,0.9008379888268156,0.875,0.7276536312849162,0.0625,0.17318435754189945,0.0625,0.09916201117318436,9.458934784,28.104276246484357
310,4,561437,8570874,plates,2,0,5,0,41.442504883,34.45608533617846,97.83667224120094,3,5,70,78,106,164,428,698,0.9615384615384616,0.8481375358166189,0.8974358974358975,0.6131805157593123,0.0641025641025641,0.2349570200573066,0.038461538461538464,0.1518624641833811,17.442504882999998,34.45608533617846
311,4,561458.1,8570901,plates,2,1,5,0,30,7.9832405021212125,104.22294642378618,19,53,6,78,206,202,294,702,0.7564102564102564,0.7065527065527065,0.07692307692307693,0.4188034188034188,0.6794871794871795,0.28774928774928776,0.24358974358974358,0.2934472934472934,6,7.9832405021212125
313,4,561483.2,8570858,plates,2,1,3,0,30,3.4572862174035386,54.88870085164437,21,0,59,80,184,188,334,706,0.7375,0.7393767705382436,0.7375,0.4730878186968839,0,0.26628895184135976,0.2625,0.26062322946175637,6,3.4572862174035386
322,4,561435.6,8570973,plates,2,0,5,0,40.08902359,26.557669721604075,124.2365026753954,0,0,76,76,31,69,600,700,1,0.9557142857142857,1,0.8571428571428571,0,0.09857142857142857,0,0.04428571428571428,16.089023589999996,37.94372783605526
337,4,561468.4,8570919,plates,2,0,5,0,29,1.2428128266974157,115.40651698885846,20,25,31,76,180,223,297,700,0.7368421052631579,0.7428571428571429,0.40789473684210525,0.42428571428571427,0.32894736842105265,0.31857142857142856,0.2631578947368421,0.2571428571428571,5,1.2428128266974157
342,4,561474.6,8570965,plates,2,0,3,0,28.541881561,1.4119950888773045,112.6197607266246,20,5,51,76,133,94,473,700,0.7368421052631579,0.81,0.6710526315789473,0.6757142857142857,0.06578947368421052,0.13428571428571429,0.2631578947368421,0.19,4.541881561,1.4119950888773045
171,4,561585,8571072,plates,1,1,5,0,39.242076874,24.6559803294064,77.01537821976056,42,6,30,78,232,118,348,698,0.46153846153846156,0.667621776504298,0.38461538461538464,0.498567335243553,0.07692307692307693,0.16905444126074498,0.5384615384615384,0.332378223495702,15.242076873999999,49.018865237979824
182,4,561531.8,8571047,plates,1,0,5,0,33.179264069,3.9769485152958706,34.61768969807499,36,14,26,76,238,218,246,702,0.5263157894736842,0.6609686609686609,0.34210526315789475,0.3504273504273504,0.18421052631578946,0.31054131054131057,0.47368421052631576,0.33903133903133903,9.179264068999998,33.99852849761909
190,4,561543.7,8571062,plates,1,0,5,0,37.990837096999996,12.09771454333637,37.95894872955888,23,27,28,78,233,166,309,708,0.7051282051282052,0.6709039548022598,0.358974358974359,0.4364406779661017,0.34615384615384615,0.2344632768361582,0.2948717948717949,0.3290960451977401,13.990837096999996,36.320821201220106
212,4,561632.8,8571030,plates,1,0,4,0,33.283390045,6.2039371138922075,130.87711374415946,48,23,9,80,351,116,239,706,0.4,0.5028328611898017,0.1125,0.3385269121813031,0.2875,0.1643059490084986,0.6,0.4971671388101983,9.283390044999997,65.2993689923381
217,4,561676.3,8571076,plates,1,0,5,0,25,6.3708046347732035,167.23579317490052,8,70,0,78,227,459,22,708,0.8974358974358975,0.6793785310734464,0,0.031073446327683617,0.8974358974358975,0.6483050847457628,0.10256410256410256,0.3206214689265537,1,6.3708046347732035
234,4,561625.9,8571034,plates,1,2,2,0,34.04384613,2.0152690395561517,123.12440139618168,47,15,18,80,330,90,292,712,0.4125,0.5365168539325843,0.225,0.4101123595505618,0.1875,0.12640449438202248,0.5875,0.46348314606741575,10.043846129999999,65.22245278615927
262,4,561546.8,8571084,plates,1,1,5,0,32.498287201,3.0936289728915862,40.01250803935491,34,13,33,80,209,279,218,706,0.575,0.7039660056657224,0.4125,0.3087818696883853,0.1625,0.3951841359773371,0.425,0.29603399433427763,8.498287200999997,30.596874929183898
282,4,561605.1,8571066,plates,1,0,5,0,31.924762726,17.08894080312173,96.36191294744442,31,14,35,80,260,143,301,704,0.6125,0.6306818181818182,0.4375,0.4275568181818182,0.175,0.203125,0.3875,0.3693181818181818,7.924762726000001,43.57071167327389
303,4,561641.5,8571017,plates,1,2,5,0,37.377944946,19.47776665546312,143.86685663725606,44,14,18,76,334,116,250,700,0.42105263157894735,0.5228571428571429,0.23684210526315788,0.35714285714285715,0.18421052631578946,0.1657142857142857,0.5789473684210527,0.47714285714285715,13.377944946,67.75083624477296
312,4,561517.7,8571060,plates,1,1,5,0,28.161176682,8.851324767360904,15.038268366496697,29,21,28,78,176,259,273,708,0.6282051282051282,0.751412429378531,0.358974358974359,0.3855932203389831,0.2692307692307692,0.365819209039548,0.3717948717948718,0.24858757062146894,4.161176682000001,14.284453472956322
